0: (None, None, 'W.E.F. 01-02-2024', None, None, None, None, None, None, None, None, None, None, None, None, 'W.E.F. 01-07-2024', 'Delhivery Express', None, None, None, None, None, None)
1: (None, None, 'Surface', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
2: (None, None, 'Movement', 'L wt', 'U wt', 'Addl', 'A', 'B', 'C1', 'C2', 'D1', 'D2', 'E', 'F', None, None, 'Slab', 'A', 'B', 'C', 'D', 'E', 'F')
3: (None, None, 'Fwd', 0, 250, 250, 'X', 'Y', 55, 55, 65, 65, 85, 92, None, 'Fwd', '0 - 500', 'X', 'Y', 90, 90, 90, 90)
4: (None, None, 'Fwd', 250, 1000, 250, 0, 0, 0, 0, 0, 0, 0, 0, None, None, 'additional 500', 0, 0, 0, 0, 0, 0)
5: (None, None, 'Fwd', 1000, None, 1000, 0, 0, 0, 0, 0, 0, 0, 0, None, 'RTO', '0 - 500', 0, 0, 0, 0, 0, 0)
6: (None, None, 'RTO', 0, 250, 250, 0, 0, 0, 0, 0, 0, 0, 0, None, None, 'additional 500', 0, 0, 0, 0, 0, 0)
7: (None, None, 'RTO', 250, 1000, 250, 0, 0, 0, 0, 0, 0, 0, 0, None, 'DTO', '0 - 500', 44, 44, 45, 45, 45, 45)
8: (None, None, 'RTO', 1000, None, 1000, 0, 0, 0, 0, 0, 0, 0, 0, None, None, 'additional 500', 40, 45, 45, 45, 45, 45)
9: (None, None, 'DTO', 0, 500, 500, 44, 44, 55.7, 55.7, 64.7, 64.7, 70, 74, None, None, None, None, None, None, None, None, None)
10: (None, None, 'DTO', 500, None, 500, 40, 40, 53.7, 53.7, 62.7, 62.7, 68, 71, None, None, 'Monthly Vol Slab', 'A', 'B', None, None, None, None)
11: (None, None, 'COD', 0, None, None, None, None, None, None, None, None, None, None, None, None, '<1 Lakh', 'Existing Rate Card', None, None, None, None, None)
12: (None, None, 'DISCOUNT', 0, None, None, None, None, None, None, None, None, None, None, None, None, '1-3 Lakh', 'X=35', 'Y = 42', None, None, None, None)
13: (None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '>=3 Lakh', 'X=31', 'Y=38.5', None, None, None, None)
14: (None, None, 'Discount Structure', None, None, None, None, None, 'w.e.f. 01-05-2024', None, None, 'w.e.f. May-2026', None, None, None, None, None, None, None, None, None, None, None)
15: (None, None, 'Vol Slab', None, 'A', 'B', 'Rest', None, 'Guwahati', None, None, 'Delhivery NDD', None, None, None, 'Ask Logistics Procurement team before \nsharing this data to anyone.\n\nHighly Confidential', None, None, None, None, None, None, None)
16: (None, None, '<1 Lakh', None, 'Existing Rate Card, Table B', None, None, None, 'B_SPL', None, None, 'Fwd', 'A', 33, None, None, None, None, None, None, None, None, None)
17: (None, None, '1-3 Lakh', None, 'X=35', 'Y=42', 'No Change', None, '42/- per shipment', None, None, 'Fwd', 'B', 42, None, None, None, None, None, None, None, None, None)
18: (None, None, '>=3 Lakh', None, 'X=31', 'Y=38.5', 'No Change', None, None, None, None, 'Delhivery SDD', None, None, None, None, None, None, None, None, None, None, None)
19: (None, None, None, None, None, None, None, None, None, None, None, 'Fwd', 'A', 35, None, None, None, None, None, None, None, None, None)
